repo,loc,ehloc,num_classes,userdefined_exceptions,num_methods,num_methods_throw,num_public_methods,num_public_methods_throws,num_nonpublic_methods,num_nonpublic_methods_throws,percent_nonpublic_method_throws,num_throw_statements,num_try,num_catch,empty_catchs,throw_on_catch,return_on_catch,return_on_finall,log_on_finally,specific_action_onfinally
soundcloud/java-api-wrapper,4130,275,38,0,454,217,377,177,77,40,51.94805194805194,81,49,49,0,21,3,0,0,7
atmosphere/atmosphere-extensions,6745,627,121,3,543,97,426,59,117,38,32.47863247863248,44,117,119,0,28,10,0,0,9
spring-projects/eclipse-integration-gradle,19010,1747,246,4,1638,310,949,202,689,108,15.674891146589259,73,232,193,0,33,84,11,1,147
vidageek/mirror,5790,275,179,5,591,24,561,24,30,0,0.0,118,24,38,0,31,1,0,0,0
droidplanner/droidplanner,24436,423,400,0,1706,78,1247,20,459,58,12.636165577342048,47,81,85,0,1,25,0,0,8
twitter/hbc,4966,206,78,1,555,165,372,109,183,56,30.601092896174865,22,40,42,0,5,1,0,0,4
wasdev/ci.maven,980,82,23,0,48,39,6,5,42,34,80.95238095238095,26,14,11,0,3,0,0,0,5
cloudera/cdk-examples,1189,68,30,0,73,55,42,27,31,28,90.32258064516128,2,16,0,0,0,0,0,0,18
cstamas/maven-indexer-examples,248,2,2,0,11,0,9,0,2,0,0.0,0,2,1,0,0,0,0,0,0
ronoaldo/openemm,84530,5990,912,41,7224,910,5941,629,1283,281,21.901792673421667,635,1008,1022,0,214,156,0,2,140
pydio/pydio-sync-java,5590,497,26,3,244,34,185,15,59,19,32.20338983050847,47,78,95,0,13,14,0,0,0
reficio/p2-maven-plugin,1576,93,24,0,202,29,134,8,68,21,30.88235294117647,16,19,13,0,10,1,0,0,7
saik0/unifiedpreference,550,20,9,0,47,0,40,0,7,0,0.0,6,2,4,0,4,0,0,0,0
wtsi-npg/illumina2bam,6596,245,51,0,270,93,202,63,68,30,44.11764705882353,58,39,49,0,0,8,0,0,0
simperium/simperium-android,10661,623,91,9,486,38,338,15,148,23,15.54054054054054,51,105,113,0,28,13,0,0,0
blir/convosync,3688,454,34,0,234,6,143,3,91,3,3.296703296703297,13,76,96,0,0,9,0,0,20
apatrushev/serveraccess,5849,131,73,0,508,110,359,70,149,40,26.845637583892618,55,59,67,0,0,0,0,0,0
impulse-org/pdb.values,26932,1231,222,31,2421,433,1606,251,815,182,22.33128834355828,279,122,120,0,40,3,0,0,7
juliendev/bugdroid,5731,81,48,0,403,0,247,0,156,0,0.0,11,15,15,0,0,0,0,0,2
xgouchet/ted,2295,101,24,0,149,1,68,0,81,1,1.2345679012345678,0,18,24,0,0,8,0,0,0
yakushevvladimir/biblequote-for-android,9240,712,147,9,687,66,482,52,205,14,6.829268292682928,40,104,112,0,26,16,0,0,16
knowing/medmon,10233,289,159,0,838,88,582,71,256,17,6.640625,23,67,66,0,6,4,0,0,3
ronniekk/css-x-fire,3885,56,66,0,405,7,276,6,129,1,0.7751937984496124,5,12,13,0,1,0,0,0,0
chookapp/bracketeer,8441,220,62,0,555,51,345,19,210,32,15.238095238095239,17,78,79,0,1,14,0,0,0
deathline75/mcworld,2765,306,31,0,106,6,92,3,14,3,21.428571428571427,5,63,88,0,0,4,0,0,0
valotrading/stirling,7818,440,139,17,1095,143,768,108,327,35,10.703363914373089,85,54,58,0,42,3,0,0,4
ga-m3dv/ga-earthsci-rcp,117788,1665,1233,6,1536,647,1044,479,492,168,34.146341463414636,518,751,623,0,22,28,0,0,10
editorconfig/editorconfig-jetbrains,352,17,5,0,43,0,30,0,13,0,0.0,0,4,4,0,0,3,0,0,0
esteinberg/plantuml4idea,1078,48,25,0,120,3,77,2,43,1,2.3255813953488373,3,9,8,0,1,0,0,0,4
webbit/webbit,7255,215,131,2,870,283,690,214,180,69,38.333333333333336,25,42,32,0,11,3,0,0,10
pleiad/ghosts,4878,132,46,0,357,56,234,28,123,28,22.76422764227642,1,40,40,0,1,1,0,0,0
alphazero/jredis,16429,5744,174,8,755,210,501,167,254,43,16.92913385826772,419,480,560,0,165,44,0,1,13
frontlinesms-credit/plugin-paymentview,14395,390,163,1,1257,184,950,124,307,60,19.54397394136808,19,81,77,0,14,10,0,5,10
jotschi/javacpp-examples,216,0,8,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
robertoia/invaders,1792,54,21,0,53,3,26,2,27,1,3.7037037037037033,0,11,8,0,0,1,0,0,8
deitykingdomsdev/kingdoms2,5574,194,62,0,403,1,329,0,74,1,1.3513513513513513,0,48,48,0,0,9,0,0,0
timroes/swipetodismissundolist,440,1,1,0,24,0,19,0,5,0,0.0,1,0,0,0,0,0,0,0,0
lepkoqq/easycrafting,2426,70,33,0,177,2,100,0,77,2,2.5974025974025974,3,15,12,0,0,4,0,0,3
jboss-fuse/fuse,17331,285,150,2,1554,131,1280,98,274,33,12.043795620437956,36,43,35,0,2,7,0,0,9
rdiachenko/jlv,4416,228,66,0,382,16,301,13,81,3,3.7037037037037033,26,42,42,0,5,0,0,1,10
cyberkitsune/kitsunechat,948,29,10,0,38,0,28,0,10,0,0.0,0,6,6,0,0,0,0,0,0
ios-driver/libimobiledevice-wrapper,2337,145,37,4,167,84,138,71,29,13,44.827586206896555,19,11,11,0,2,1,0,0,1
docdoku/docdoku-plm,51556,4625,697,63,5179,920,4303,449,876,471,53.76712328767124,485,589,659,0,301,52,0,0,52
jitlogic/zorka,32278,1373,415,8,3091,487,2473,415,618,72,11.650485436893204,102,218,245,0,15,31,0,1,12
cloudifysource/cloudify-widget,8588,437,110,2,568,23,436,12,132,11,8.333333333333332,56,88,89,0,28,8,0,0,0
colonialclub/colonial-android,20452,379,107,0,2114,11,1690,11,424,0,0.0,74,57,65,0,15,10,0,1,8
my-flow/paypalimporter,5361,349,79,0,446,3,387,3,59,0,0.0,34,55,82,0,5,0,0,2,2
pubnub/java,15394,1524,109,2,1349,126,924,90,425,36,8.470588235294118,154,295,328,0,40,22,0,0,0
dmfs/tasks,9513,75,106,2,2,2,1,1,1,1,100.0,32,17,15,0,0,0,0,0,0
redline-smalltalk/redline-smalltalk,6099,309,103,1,1193,38,1030,25,163,13,7.975460122699387,226,21,25,0,18,0,0,0,0
anisb/field,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
onmyway133/slidingmenu,591,0,14,0,40,0,33,0,7,0,0.0,0,0,0,0,0,0,0,0,0
reactivecouchbase/reactivecouchbase-play,1035,18,12,0,76,25,62,25,14,0,0.0,5,4,4,0,2,1,0,0,0
springsource/spring-framework,453936,23829,5555,245,39253,11419,31439,9733,7814,1686,21.576657281801896,3995,3337,3326,0,1430,203,0,36,842
hrehfeld/quakeinjector,6453,500,64,3,405,45,316,34,89,11,12.359550561797752,33,60,94,0,16,2,1,0,1
webbukkit/dynmap,4338,255,18,0,297,7,251,4,46,3,6.521739130434782,6,51,71,0,0,20,0,0,0
samyakbhuta/gtts,3450,154,42,1,162,53,119,49,43,4,9.30232558139535,40,50,83,0,0,1,0,0,1
rmuller/infomas-asl,1067,44,13,0,82,55,46,36,36,19,52.77777777777778,19,5,3,0,1,0,0,0,2
greenlaw110/play-morphia,7544,236,108,0,677,46,370,24,307,22,7.166123778501629,71,40,41,0,14,3,0,0,2
kermitt2/grobid,39917,1730,193,5,1987,267,1395,208,592,59,9.966216216216216,328,287,313,0,195,1,0,4,46
reidarsollid/rustycage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tntim96/jscover,44691,353,127,0,980,180,761,136,219,44,20.091324200913242,47,70,69,0,40,2,0,0,4
webjars/webjars-locator,1080,103,10,1,86,32,54,22,32,10,31.25,6,22,14,0,3,0,0,0,13
tilal6991/holoirc,6333,27,74,0,648,5,482,5,166,0,0.0,6,6,4,0,1,0,0,0,1
kristofa/brave,21177,2200,134,6,2180,446,1863,347,317,99,31.230283911671926,249,126,114,0,80,3,0,0,16
jprante/elasticsearch-analysis-baseform,1121,7,14,0,85,12,49,9,36,3,8.333333333333332,4,1,1,0,1,0,0,0,0
code4craft/blackhole,2797,220,50,0,219,26,173,22,46,4,8.695652173913043,6,44,46,0,2,4,0,0,4
intermine/intermine,235529,17696,2086,67,15368,3720,10658,2614,4710,1106,23.48195329087049,3336,2718,2865,0,1247,195,0,4,253
ymnk/jsch-agent-proxy,1710,165,21,1,80,27,56,23,24,4,16.666666666666664,15,25,27,0,6,3,0,0,19
jexp/cypher-rs,1013,50,11,0,103,48,57,39,46,9,19.565217391304348,3,16,10,0,2,5,0,0,0
vmi/selenese-runner-java,8986,496,184,1,790,60,639,53,151,7,4.635761589403973,115,77,89,0,46,13,0,0,2
deanhiller/playorm,31595,1217,406,9,2652,41,1999,35,653,6,0.9188361408882083,428,130,151,0,86,8,0,0,4
researchstudio-sat/webofneeds,22338,1380,383,14,1786,372,1415,325,371,47,12.668463611859837,130,197,301,0,78,18,0,0,22
stripe/stripe-android,1742,64,19,0,256,10,208,9,48,1,2.083333333333333,10,12,15,0,2,3,0,0,0
mulesoft/cargo-mule-container,476,37,12,0,36,7,21,1,15,6,40.0,9,7,4,0,1,0,0,0,3
fasterxml/jackson-module-jaxb-annotations,3837,28,44,0,364,80,332,80,32,0,0.0,10,5,6,0,4,0,0,0,0
elasticsearch/elasticsearch-hadoop,16479,682,242,7,1705,428,1184,375,521,53,10.17274472168906,126,123,113,0,77,4,0,0,25
httl/httl,29818,1600,288,0,2856,359,1599,282,1257,77,6.125696101829754,342,254,226,0,122,42,0,2,79
francesco-ficarola/gexf4j,3071,16,74,0,266,57,186,9,80,48,60.0,1,4,4,0,1,0,0,0,0
kklin/java-audio-steganography,1012,27,15,0,72,11,43,6,29,5,17.24137931034483,3,5,7,0,0,0,0,0,0
legras/uav3i,9427,81,127,1,599,24,556,20,43,4,9.30232558139535,0,34,37,0,0,0,0,0,0
esotericsoftware/yamlbeans,4839,204,36,2,347,101,246,82,101,19,18.81188118811881,78,30,33,0,28,0,0,0,1
zachbora/plotme,9638,160,18,0,88,7,37,3,51,4,7.8431372549019605,7,67,78,0,0,3,0,0,0
yinwang0/pysonar2,9250,142,100,0,784,11,561,0,223,11,4.932735426008969,3,25,24,0,0,11,0,0,1
ombre42/jrobotremoteserver,3234,318,59,5,384,59,296,42,88,17,19.318181818181817,83,45,44,0,24,1,0,0,2
randorias/randori-plugin-intellij,5766,68,77,0,541,19,358,11,183,8,4.371584699453552,8,23,22,0,0,0,0,0,0
brix-cms/brix-cms,28528,861,453,13,3785,700,2753,664,1032,36,3.488372093023256,200,126,116,0,63,8,0,3,9
lawrence0819/spring-web-rythm-template,1887,67,40,0,189,27,160,22,29,5,17.24137931034483,11,13,14,0,10,2,0,0,0
caltoopia/caltoopia,130299,15975,567,2,6511,34,5505,19,1006,15,1.4910536779324055,229,2167,1953,0,15,38,0,0,1572
braintree/braintree_java,16131,254,178,12,1721,34,1519,20,202,14,6.9306930693069315,54,32,37,0,18,1,0,0,0
fiji/stitching,11224,129,68,2,147,17,125,11,22,6,27.27272727272727,2,55,61,0,0,3,0,0,0
kraszied/palinkathermobox,1415,105,17,0,75,0,50,0,25,0,0.0,0,22,22,0,0,0,0,0,0
yamj/yamj-v3,20801,849,237,1,1950,70,1658,53,292,17,5.821917808219178,38,161,175,0,11,27,0,4,30
beberlei/netbeans-php-enhancements,964,51,17,1,100,3,65,3,35,0,0.0,1,9,14,0,0,5,0,0,0
baniuyao/flume-kafka,198,21,4,0,11,3,6,2,5,1,20.0,0,3,5,0,0,2,0,0,0
plusonelabs/calendar-widget,1391,7,23,0,134,0,69,0,65,0,0.0,0,2,2,0,0,1,0,0,0
bennidi/mbassador,4301,192,107,2,319,12,254,9,65,3,4.615384615384616,17,34,26,0,10,2,0,0,13
ahmedre/quran_android,14023,354,79,0,620,6,375,3,245,3,1.2244897959183674,19,83,82,0,8,14,0,0,9
tubame/migration-tool,150622,2374,1149,5,22347,210,21184,90,1163,120,10.318142734307825,190,269,333,0,94,58,0,0,46
ahn/vaadin-aceeditor,6447,69,55,0,501,0,351,0,150,0,0.0,18,12,13,0,8,0,0,0,1
ricex1055/rpiserver,3832,165,80,0,322,2,243,1,79,1,1.2658227848101267,1,28,38,0,0,5,0,0,3
jimwebber/neo4j-tutorial,8725,103,75,0,516,57,281,27,235,30,12.76595744680851,15,84,10,0,0,0,0,0,0
dotkom/onlineguru,12869,774,157,4,1140,64,842,26,298,38,12.751677852348994,37,138,171,0,9,18,0,0,2
nyholku/purejavacomm,7103,414,54,5,459,64,350,23,109,41,37.61467889908257,52,70,62,0,4,10,0,0,19
bumptech/glide,6307,216,75,0,702,34,535,19,167,15,8.982035928143713,41,31,31,0,2,2,0,0,2
jgilfelt/android-sqlite-asset-helper,561,68,9,0,27,4,16,0,11,4,36.36363636363637,9,12,9,0,3,2,0,0,9
shadowlauch/advancedbow,610,32,8,0,15,1,11,0,4,1,25.0,0,7,8,0,0,0,0,1,3
f2prateek/progressbutton,586,28,3,0,69,17,61,17,8,0,0.0,4,8,8,0,0,0,0,0,0
maurycyw/staggeredgridview,1887,4,3,0,98,0,70,0,28,0,0.0,4,0,0,0,0,0,0,0,0
comsysto/jumbodb,15216,633,311,11,1711,219,1328,108,383,111,28.98172323759791,148,76,93,0,71,6,0,0,18
socrata/soda-java,8154,474,133,8,756,202,701,184,55,18,32.72727272727273,45,84,71,0,21,31,0,0,22
mkalam-alami/inventory-tweaks,5051,230,35,0,422,27,299,20,123,7,5.691056910569105,3,51,50,0,1,9,0,3,11
vmware/jenkins-reviewbot,953,139,9,0,85,23,60,13,25,10,40.0,7,14,15,0,7,13,0,0,0
l0rdn1kk0n/wicket-bootstrap,14051,85,346,0,1610,22,1012,19,598,3,0.5016722408026756,36,13,12,0,9,0,0,0,2
codeartisans/asadmin,2955,92,68,1,236,0,172,0,64,0,0.0,45,13,15,0,0,0,0,0,1
bisanthe/twitstreet,11891,1182,116,1,647,69,577,54,70,15,21.428571428571427,26,207,220,0,14,5,0,0,5
netflix/curator,2507,118,30,0,236,142,202,136,34,6,17.647058823529413,20,44,44,0,4,0,0,0,0
delt0r/msms,23375,981,160,3,1391,24,1077,8,314,16,5.095541401273886,149,246,191,0,34,0,0,0,3
angusforbes/stereo,208,0,1,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
furt/forumaa,1482,67,9,0,83,43,75,38,8,5,62.5,5,9,14,0,0,9,0,0,0
quattor/pan,32162,2840,419,8,1900,779,1550,653,350,126,36.0,664,336,401,0,300,17,0,0,2
novoda/merlin,1449,18,46,1,190,35,125,35,65,0,0.0,3,1,1,0,0,1,0,0,0
trnl/benchmarks-plugin,1368,62,15,0,132,11,100,7,32,4,12.5,2,10,15,0,1,0,0,0,0
mysticfall/pivot4j,32381,1280,331,6,2580,155,2087,138,493,17,3.4482758620689653,378,163,164,0,127,9,0,0,24
box/box-android-sdk-v2,3452,190,44,3,455,6,299,5,156,1,0.641025641025641,1,30,36,0,0,8,0,0,5
royaldev/royalchat,1545,78,16,0,130,8,95,3,35,5,14.285714285714285,5,15,16,0,0,8,0,0,0
zxing/zxing,41639,1317,464,7,2534,459,1253,229,1281,230,17.95472287275566,448,209,175,0,41,22,0,0,22
crudedragos/mosi,813,0,15,0,28,0,21,0,7,0,0.0,0,0,0,0,0,0,0,0,0
tuxcraft/ontheotherhand,2273,13,17,0,17,13,13,10,4,3,75.0,0,13,13,0,0,0,0,0,0
kinow/testopia-plugin,1205,42,15,1,96,8,72,3,24,5,20.833333333333336,6,5,6,0,5,0,0,0,0
cole2sworld/colebans,6568,643,79,4,376,114,274,79,102,35,34.31372549019608,75,104,139,0,16,41,0,0,0
dumptruckman/chestrestock,2987,88,39,0,163,9,126,4,37,5,13.513513513513514,10,17,20,0,0,4,0,0,0
stianwe/debtlist,5621,455,62,0,338,30,249,19,89,11,12.359550561797752,12,70,73,0,5,1,0,0,2
tripvi/ti.drawerlayout,455,6,3,0,34,0,26,0,8,0,0.0,6,0,0,0,0,0,0,0,0
alfresco/alfresco-android-app,51043,296,370,1,3325,28,2035,10,1290,18,1.3953488372093024,39,197,204,0,0,0,0,0,0
nerdnu/moblimiter,193,0,1,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
oaqa/jdbc-providers,591,14,11,0,55,26,42,24,13,2,15.384615384615385,5,3,3,0,3,0,0,0,0
adamrocker/simple-side-drawer,425,0,4,0,37,0,35,0,2,0,0.0,0,0,0,0,0,0,0,0,0
confuser/barapi,780,161,5,0,70,0,42,0,28,0,0.0,0,17,64,0,0,0,0,0,0
klinker41/android-smsmms,23093,1950,213,4,1815,253,1312,219,503,34,6.759443339960239,164,350,294,0,17,96,0,2,171
arcbees/gwtp,28926,716,769,9,2692,225,1772,114,920,111,12.065217391304348,149,85,102,0,53,6,0,0,2
