repo,loc,ehloc,num_classes,userdefined_exceptions,num_methods,num_methods_throw,num_public_methods,num_public_methods_throws,num_nonpublic_methods,num_nonpublic_methods_throws,percent_nonpublic_method_throws,num_throw_statements,num_try,num_catch,empty_catchs,throw_on_catch,return_on_catch,return_on_finall,log_on_finally,specific_action_onfinally
d3kod/thehunt---interactive-graphical-platform-for-ai-experiments,11784,161,136,0,961,11,801,10,160,1,0.625,41,24,24,0,1,4,0,0,3
couchbaselabs/touchdb-android,11727,966,74,0,748,58,622,40,126,18,14.285714285714285,59,190,192,0,29,48,0,0,31
umut/spring-social-salesforce,2327,56,63,1,296,8,280,7,16,1,6.25,22,7,7,0,4,2,0,0,0
fsmv/livestream-processor,1881,24,18,0,132,1,101,1,31,0,0.0,3,5,5,0,0,0,0,0,0
poliva/radare-installer,3964,146,22,1,44,1,38,0,6,1,16.666666666666664,25,35,40,0,2,3,0,0,0
hurricaaane/mc-commons,2336,100,72,4,11,9,10,8,1,1,100.0,28,28,45,0,0,0,0,0,0
vivo-project/vivo-harvester,15434,1779,101,1,672,306,334,149,338,157,46.44970414201183,262,215,323,0,112,4,0,0,23
digitalcampus/oppia-mobile-android,10410,629,107,2,599,13,465,10,134,3,2.2388059701492535,10,105,141,0,9,7,0,0,0
mpatric/mp3agic,6314,390,53,5,630,243,466,184,164,59,35.97560975609756,19,82,71,0,3,6,0,0,9
rallytools/rallyresttoolkitforjava,1980,36,42,1,235,47,180,25,55,22,40.0,3,7,3,0,1,1,0,0,4
mulesoft/cassandradb-connector,1625,107,10,1,154,78,138,69,16,9,56.25,13,20,21,0,12,0,0,0,0
louffoster/flickit,2596,0,27,0,235,0,188,0,47,0,0.0,0,0,0,0,0,0,0,0,0
dodola/android_waterfall,2777,220,25,0,212,26,140,14,72,12,16.666666666666664,28,41,41,0,3,6,0,0,3
pahimar/equivalent-exchange-3,4379,0,81,0,394,0,272,0,122,0,0.0,0,0,0,0,0,0,0,0,0
preillyme/snowflakeclient,3555,167,5,0,470,143,404,121,66,22,33.33333333333333,63,31,32,0,22,0,0,0,0
anasthase/tintbrowser,13706,331,96,0,1055,3,724,3,331,0,0.0,8,61,73,0,0,35,0,0,1
databricks/simr,570,51,4,0,36,13,33,12,3,1,33.33333333333333,1,13,14,0,1,2,0,0,0
cbeust/testng-eclipse,16178,1044,161,0,1458,61,816,28,642,33,5.14018691588785,24,154,168,0,9,44,0,0,20
turesheim/elibrarium,4178,102,51,0,390,36,288,25,102,11,10.784313725490197,10,20,22,0,2,0,0,0,0
anjlab/eclipse-tapestry5-plugin,7961,106,67,1,690,45,476,16,214,29,13.551401869158877,18,67,68,0,0,0,0,0,0
jankotek/mapdb,51997,6240,158,1,2374,468,1938,370,436,98,22.477064220183486,245,1463,1347,0,177,9,0,3,168
esri/maps-app-android,1485,36,7,0,127,1,77,0,50,1,2.0,0,8,8,0,0,4,0,0,0
neo4j/spatial,14050,547,163,1,1172,134,741,100,431,34,7.888631090487238,81,151,77,0,26,7,0,1,33
tishan89/manifoldcf-email-connector,763,39,3,0,59,7,20,3,39,4,10.256410256410255,5,5,8,0,4,2,0,0,0
agentgt/jirm,7475,170,133,4,661,67,538,57,123,10,8.130081300813007,59,17,23,0,19,2,0,0,0
zonski/javafx-maven-plugin,441,46,7,0,11,8,7,7,4,1,25.0,22,7,8,0,8,0,0,0,0
attenzione/android-colorpickerpreference,1130,9,6,0,53,1,29,0,24,1,4.166666666666666,2,2,2,0,0,0,0,0,0
jkmau5/alternativeenergy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ccidral/tomighty,5592,157,154,0,584,29,400,23,184,6,3.260869565217391,15,36,23,0,8,1,0,0,15
wordnik/swagger-codegen,8797,1130,117,6,1140,113,1116,105,24,8,33.33333333333333,200,111,113,0,108,99,0,0,0
projectdanube/xdi2-zephyr,1168,64,12,0,108,12,82,5,26,7,26.923076923076923,7,13,10,0,7,0,0,0,3
cleuton/jqana,15826,1193,74,0,1312,17,1235,8,77,9,11.688311688311687,53,142,155,0,6,5,2,0,14
mycila/license-maven-plugin,3145,145,59,0,246,92,207,85,39,7,17.94871794871795,26,29,23,0,15,0,0,0,8
jglobus/jglobus,53349,6235,472,28,3555,799,2532,605,1023,194,18.963831867057674,1005,834,927,0,376,84,0,8,103
skiphs/amidst,7416,338,125,0,523,1,437,1,86,0,0.0,3,60,81,0,1,5,0,0,0
mannd/epmobile,7240,55,79,0,477,0,137,0,340,0,0.0,2,14,10,0,0,1,0,0,0
zlz3907/z-xml,2081,453,14,0,127,9,94,7,33,2,6.0606060606060606,7,25,40,0,1,0,2,3,235
multiverse/multiverse-netherportals,1032,23,12,0,59,0,51,0,8,0,0.0,0,6,7,0,0,0,0,0,0
freekspb/photo-of-the-day,3457,509,35,1,164,18,107,17,57,1,1.7543859649122806,15,69,77,0,0,16,1,0,193
inspirer/textmapper,54218,962,603,2,3350,380,2388,282,962,98,10.187110187110187,270,152,172,0,15,19,0,0,20
shaders/pushwoosh-phonegap-3.0-plugin,4175,109,40,1,128,6,78,1,50,5,10.0,21,56,54,0,0,2,0,0,0
trendrr/java-oss-lib,13552,1268,184,12,1043,156,732,92,311,64,20.578778135048232,142,185,193,0,54,8,4,1,45
contra/jmd,34335,2851,455,20,2738,414,2110,234,628,180,28.662420382165603,585,233,227,0,78,76,26,0,240
jcoderz/m3server,3584,213,75,3,313,31,236,19,77,12,15.584415584415584,38,36,32,0,9,0,0,2,4
ccm-modding/pay2spawn,21005,306,133,3,848,72,641,32,207,40,19.32367149758454,61,143,150,0,1,0,0,0,0
mtedone/podam,7521,223,132,1,653,10,603,6,50,4,8.0,43,24,41,0,28,4,0,0,0
ryantenney/metrics-spring,4068,182,69,0,373,57,258,49,115,8,6.956521739130435,29,31,20,0,6,2,0,0,24
devoidcoder/realm-relay,3100,98,96,0,240,172,229,168,11,4,36.36363636363637,7,20,22,0,0,1,0,0,0
ata4/disunity,4860,219,67,2,390,103,331,84,59,19,32.20338983050847,27,42,40,0,3,4,0,0,0
t0mm13b/jncryptor,1326,211,19,6,120,39,66,23,54,16,29.629629629629626,39,23,24,0,16,0,0,0,1
skylark95/amazon-app-notifier,6137,200,82,2,642,12,373,4,269,8,2.973977695167286,15,23,37,0,4,1,0,0,0
syllant/idea-plugin-xstructure,2686,62,43,3,230,12,194,9,36,3,8.333333333333332,14,16,16,0,0,0,0,0,0
backyardbrains/backyard-brains-android-app,2127,74,18,0,193,0,113,0,80,0,0.0,7,13,16,0,3,0,0,0,0
ccancinos/rinzo-xml-editor,12390,511,170,0,1066,73,614,37,452,36,7.964601769911504,35,119,128,0,23,19,0,0,3
xereonet/spacebukkit,2815,267,15,0,214,12,175,5,39,7,17.94871794871795,4,37,47,0,0,5,0,0,0
vivekpanyam/evolve,321,26,5,0,26,2,8,1,18,1,5.555555555555555,0,6,7,0,0,1,0,0,0
onlyinamerica/hwencoderexperiments,1167,64,4,0,40,2,24,1,16,1,6.25,20,9,10,0,3,3,0,0,0
radiusnetworks/android-ibeacon-service,2172,76,27,2,186,8,132,6,54,2,3.7037037037037033,10,8,10,0,0,1,0,0,6
mobfox/mobfox-android-sdk,12072,521,71,1,790,12,437,2,353,10,2.8328611898017,68,82,111,0,18,13,0,0,0
gscordeiro/faces-motors,679,21,14,0,79,2,77,2,2,0,0.0,0,3,3,0,0,2,0,0,2
zach-klippenstein/captivate,2996,28,47,1,308,3,184,0,124,3,2.4193548387096775,8,12,11,0,0,0,0,0,0
aginsun/tale-of-kingdoms-2,43930,17,85,0,164,18,115,18,49,0,0.0,0,5,5,0,0,0,0,0,0
tananaev/traccar-web,2644,65,43,0,274,3,251,2,23,1,4.3478260869565215,22,11,11,0,9,0,0,0,0
searls/jasmine-maven-plugin,3843,114,81,1,402,163,308,121,94,42,44.680851063829785,21,20,22,0,17,4,0,0,3
vazkii/recubed,3016,87,51,0,188,3,120,0,68,3,4.411764705882353,27,14,14,0,3,5,0,0,0
forge/plugin-arquillian,1766,24,33,0,143,43,104,37,39,6,15.384615384615385,13,8,10,0,0,0,0,0,0
bloodsplat/bungeesuitechat,2446,216,47,2,189,0,87,0,102,0,0.0,0,48,48,0,0,5,0,0,0
cobbzilla/s3s3mirror,1344,207,20,0,91,24,57,16,34,8,23.52941176470588,9,30,35,0,2,9,0,3,3
jhalterman/modelmapper,14900,514,285,4,1524,26,1140,19,384,7,1.8229166666666667,60,69,72,0,22,5,0,0,6
exultant/citadel,5568,201,76,0,372,7,304,4,68,3,4.411764705882353,19,42,43,0,9,7,0,2,6
jcabi/jcabi-dynamodb-maven-plugin,318,18,9,0,24,9,9,5,15,4,26.666666666666668,5,3,1,0,1,0,0,0,2
martinleopold/debugmode,3222,292,21,0,270,5,199,5,71,0,0.0,1,27,35,0,1,15,0,0,0
waseem/long-audio-aligner,4507,45,22,0,336,32,229,20,107,12,11.214953271028037,14,7,7,0,2,1,0,0,0
cimgroup/metadata-service,14028,202,175,0,705,27,491,6,214,21,9.813084112149532,0,143,144,0,0,0,0,0,0
openworm/org.geppetto.simulation,947,49,10,0,23,17,16,10,7,7,100.0,21,14,18,0,4,0,0,0,0
ahn/vaadin-chatbox,798,0,13,0,81,0,54,0,27,0,0.0,0,0,0,0,0,0,0,0,0
nicolasgramlich/andengine,34086,965,596,24,3182,255,2318,183,864,72,8.333333333333332,247,86,77,0,26,8,0,0,17
marytts/marytts,182142,6944,1102,6,9664,1488,5256,858,4408,630,14.292196007259527,1424,1380,1371,0,286,83,0,1,44
gregko/webarchivereader,2159,40,14,0,128,2,74,2,54,0,0.0,0,9,10,0,0,4,0,0,0
cloudfoundry/cf-java-client,11148,836,136,4,912,239,635,172,277,67,24.187725631768952,122,136,146,0,65,9,0,0,9
aws/aws-sdk-java,442377,19178,6735,472,52377,4805,48965,4512,3412,293,8.587338804220398,3364,2787,1696,0,1425,48,0,209,992
loairpa/robotsvsaliensinspace,4090,102,66,0,245,27,189,8,56,19,33.92857142857143,11,22,23,0,6,0,0,0,2
mrtjp/projectred,18251,25,153,0,1823,0,1476,0,347,0,0.0,22,3,3,0,0,0,0,0,0
pingpongboss/standout,2434,81,16,0,177,0,148,0,29,0,0.0,17,12,14,0,0,0,0,0,0
hdiv/hdiv,20322,2008,244,3,2233,167,1938,106,295,61,20.677966101694913,83,602,612,0,46,1,0,0,1
google/compile-testing,1857,87,22,1,189,16,154,16,35,0,0.0,16,13,14,0,4,0,0,0,0
martypitt/swagger-springmvc,4665,45,110,0,482,5,364,5,118,0,0.0,22,6,6,0,1,0,0,0,0
vtatai/srec,9935,701,163,15,906,88,628,33,278,55,19.784172661870503,158,83,79,0,59,5,0,0,9
nupmmarkbegale/purple-robot-manager,36514,508,229,1,774,52,587,36,187,16,8.55614973262032,23,316,470,0,0,1,0,0,0
mgencur/edg-examples,4194,409,47,0,469,6,416,4,53,2,3.7735849056603774,204,54,56,0,29,2,0,0,0
