type,id,size,wrappings
android,153,5,0
android,154,21,0
android,144,5,0
android,145,13,0
android,146,16,0
android,147,5,0
android,148,13,0
android,149,27,0
android,150,13,1
android,151,5,0
android,152,19,1
android,155,16,0
android,156,2,0
android,157,16,0
android,158,35,0
android,159,17,1
android,160,2,0
android,1829,4,0
android,2838,15,0
android,1130,7,0
android,2101,14,0
android,1712,20,0
android,1714,15,1
android,1715,21,1
android,1713,20,1
android,1710,25,2
android,1711,25,2
android,2109,49,4
android,2110,7,0
android,2111,50,1
android,643,24,1
android,644,18,1
android,645,1,0
android,646,20,0
android,2094,26,0
android,2095,2,0
android,2092,22,0
android,2093,28,2
android,2096,8,0
android,2097,4,0
android,2098,28,2
android,2099,26,0
android,2315,23,0
android,1204,7,0
android,1203,7,0
android,1205,10,0
android,1504,24,1
android,1505,12,0
android,1506,11,0
android,1507,17,1
android,1508,8,0
android,1509,5,0
android,1510,19,1
android,1511,13,0
android,1512,5,0
android,1513,17,1
android,1514,14,1
android,1515,2,1
android,1516,21,0
android,1517,16,0
android,1518,14,0
android,3863,18,0
android,483,13,0
android,484,13,0
android,3412,15,1
android,3413,5,1
android,3310,19,0
android,3854,8,0
android,167,16,0
android,168,4,0
android,2392,1,0
android,1470,5,0
android,754,15,0
android,755,33,0
android,756,11,0
android,757,17,1
android,758,24,0
android,759,19,0
android,760,27,0
android,761,17,0
android,762,6,0
android,763,5,0
android,764,13,1
android,765,4,1
android,766,24,0
android,767,10,0
android,768,20,0
android,769,18,0
android,770,14,0
android,771,32,1
android,772,22,1
android,778,28,0
android,773,14,1
android,774,13,0
android,775,6,0
android,776,24,0
android,777,27,0
android,779,9,1
android,780,20,1
android,781,10,1
android,782,6,0
android,783,23,0
android,784,10,0
android,785,15,0
android,786,14,0
android,787,13,1
android,793,15,1
android,788,11,0
android,789,13,1
android,790,15,1
android,791,19,2
android,792,5,0
android,794,17,1
android,796,16,0
android,797,12,1
android,798,15,0
android,799,8,0
android,800,17,1
android,801,18,0
android,802,17,1
android,803,54,0
android,804,23,0
android,805,52,0
android,806,18,1
android,807,15,0
android,808,15,1
android,809,2,0
android,810,17,0
android,811,14,0
android,812,39,0
android,813,18,0
android,814,23,0
android,815,18,0
android,816,11,0
android,825,15,1
android,817,14,1
android,818,48,0
android,819,21,0
android,820,13,1
android,826,11,0
android,821,13,1
android,822,14,1
android,823,15,0
android,824,24,1
android,827,37,0
android,829,23,1
android,795,24,2
android,828,71,1
android,1739,17,0
android,1740,20,0
android,1741,24,0
android,1742,18,0
android,347,10,1
android,348,1,0
android,349,3,0
android,351,9,0
android,350,9,0
android,352,1,0
android,282,5,0
android,293,3,0
